object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
rigid,part,500,1,0.001,0.010031471960246563,0.0074392096139490604
rigid,part,500,1,0.01,0.010065540671348572,0.007476218976080418
rigid,part,500,1,0.1,0.010367898270487785,0.008005860261619091
rigid,part,500,1,0.3,0.009498897939920425,0.007051700726151466
rigid,part,500,1,1.0,0.009934922680258751,0.006649168208241463
rigid,part,500,1,2.0,0.012343262322247028,0.008307387121021748
rigid,none,500,2,0.0,0.010567985475063324,0.006377914920449257
rigid,global,500,2,0.001,0.01062475610524416,0.006382935680449009
rigid,global,500,2,0.01,0.010484831407666206,0.0064897919073700905
rigid,global,500,2,0.1,0.009427953511476517,0.007146647199988365
rigid,global,500,2,0.3,0.008862847462296486,0.006130419205874205
rigid,global,500,2,1.0,0.016000516712665558,0.014250493608415127
rigid,global,500,2,2.0,0.013709448277950287,0.009995407424867153
rigid,part,500,2,0.001,0.01062475610524416,0.006382935680449009
rigid,part,500,2,0.01,0.010484831407666206,0.0064897919073700905
rigid,part,500,2,0.1,0.009427953511476517,0.007146647199988365
rigid,part,500,2,0.3,0.008862847462296486,0.006130419205874205
rigid,part,500,2,1.0,0.016000516712665558,0.014250493608415127
rigid,part,500,2,2.0,0.013709448277950287,0.009995407424867153
rigid,none,1000,0,0.0,0.008470405824482441,0.005701685789972544
rigid,global,1000,0,0.001,0.008496195077896118,0.005740201100707054
rigid,global,1000,0,0.01,0.007619169540703297,0.005495159886777401
rigid,global,1000,0,0.1,0.007920066826045513,0.006021831650286913
rigid,global,1000,0,0.3,0.009117105975747108,0.005187144037336111
rigid,global,1000,0,1.0,0.008859528228640556,0.005363377742469311
rigid,global,1000,0,2.0,0.008268143981695175,0.004997991491109133
rigid,part,1000,0,0.001,0.008496195077896118,0.005740201100707054
rigid,part,1000,0,0.01,0.007619169540703297,0.005495159886777401
rigid,part,1000,0,0.1,0.007920066826045513,0.006021831650286913
rigid,part,1000,0,0.3,0.009117105975747108,0.005187144037336111
rigid,part,1000,0,1.0,0.008859528228640556,0.005363377742469311
rigid,part,1000,0,2.0,0.008268143981695175,0.004997991491109133
rigid,none,1000,1,0.0,0.01129787229001522,0.0072997016832232475
rigid,global,1000,1,0.001,0.011141441762447357,0.007319354452192783
rigid,global,1000,1,0.01,0.010478381998836994,0.006611900869756937
rigid,global,1000,1,0.1,0.012328648939728737,0.008073391392827034
rigid,global,1000,1,0.3,0.012332011014223099,0.009159141220152378
rigid,global,1000,1,1.0,0.009459693916141987,0.00832725316286087
rigid,global,1000,1,2.0,0.007956461049616337,0.005592345725744963
rigid,part,1000,1,0.001,0.011141441762447357,0.007319354452192783
rigid,part,1000,1,0.01,0.010478381998836994,0.006611900869756937
rigid,part,1000,1,0.1,0.012328648939728737,0.008073391392827034
rigid,part,1000,1,0.3,0.012332011014223099,0.009159141220152378
rigid,part,1000,1,1.0,0.009459693916141987,0.00832725316286087
rigid,part,1000,1,2.0,0.007956461049616337,0.005592345725744963
rigid,none,1000,2,0.0,0.008229115977883339,0.006210018880665302
