object_type,prior,train_size,seed,prediction_error,structural_violation
articulated,none,1000,2,0.007090654689818621,0.004969384986907244
articulated,global,1000,2,0.021767623722553253,0.006938005331903696
articulated,part,1000,2,0.007441345136612654,0.004053490702062845
articulated,none,1000,3,0.006693272385746241,0.003998894244432449
articulated,global,1000,3,0.022363774478435516,0.006785824429243803
articulated,part,1000,3,0.008734279312193394,0.005629802588373423
articulated,none,1000,4,0.006496063433587551,0.003797553712502122
articulated,global,1000,4,0.02141745015978813,0.00711023947224021
articulated,part,1000,4,0.008164962753653526,0.004029202274978161
articulated,none,5000,0,0.011586138047277927,0.0035865106619894505
articulated,global,5000,0,0.020841585472226143,0.006116003729403019
articulated,part,5000,0,0.008488006889820099,0.004864613991230726
articulated,none,5000,1,0.010548057965934277,0.003667213022708893
articulated,global,5000,1,0.02389475330710411,0.008994740433990955
articulated,part,5000,1,0.014595954678952694,0.009517134167253971
articulated,none,5000,2,0.008305261842906475,0.0037595112808048725
articulated,global,5000,2,0.021440334618091583,0.0064480542205274105
articulated,part,5000,2,0.010068687610328197,0.0031136772595345974
articulated,none,5000,3,0.011965658515691757,0.004287305288016796
articulated,global,5000,3,0.021794890984892845,0.006301128305494785
articulated,part,5000,3,0.011246718466281891,0.004883200861513615
articulated,none,5000,4,0.011144428513944149,0.0042425040155649185
articulated,global,5000,4,0.021886946633458138,0.006379786878824234
articulated,part,5000,4,0.010585340671241283,0.003830477362498641
