object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation,planning_success
articulated,part,500,0,1.0,0.011690331622958183,0.009550143033266068,0.78
articulated,none,500,1,0.0,0.011406972073018551,0.01116173341870308,0.74
articulated,global,500,1,0.01,0.011405630968511105,0.011140440590679646,0.74
articulated,global,500,1,0.1,0.011364932172000408,0.010928268544375896,0.74
articulated,global,500,1,0.3,0.011479295790195465,0.010545047000050545,0.74
articulated,global,500,1,1.0,0.011878546327352524,0.009738505817949772,0.74
articulated,part,500,1,0.01,0.011389548890292645,0.011126913130283356,0.74
articulated,part,500,1,0.1,0.011286539025604725,0.010855266824364662,0.74
articulated,part,500,1,0.3,0.011461730115115643,0.010363242588937283,0.74
articulated,part,500,1,1.0,0.012103195302188396,0.00917540118098259,0.74
articulated,none,1000,0,0.0,0.01078345999121666,0.011476459912955761,0.78
articulated,global,1000,0,0.01,0.010763176716864109,0.011424086056649685,0.78
articulated,global,1000,0,0.1,0.01029012817889452,0.010851637460291386,0.78
articulated,global,1000,0,0.3,0.01020124927163124,0.00993312243372202,0.78
articulated,global,1000,0,1.0,0.011251134797930717,0.00835347082465887,0.78
articulated,part,1000,0,0.01,0.01075997669249773,0.011421035043895245,0.78
articulated,part,1000,0,0.1,0.0102317426353693,0.010741548612713814,0.78
articulated,part,1000,0,0.3,0.010375568643212318,0.009841297753155231,0.78
articulated,part,1000,0,1.0,0.011482592672109604,0.008217251859605312,0.78
articulated,none,1000,1,0.0,0.010362174361944199,0.011539838276803493,0.74
articulated,global,1000,1,0.01,0.010360823944211006,0.011507905088365078,0.74
articulated,global,1000,1,0.1,0.010302427224814892,0.011016198433935642,0.74
articulated,global,1000,1,0.3,0.01057213544845581,0.010061417706310749,0.74
articulated,global,1000,1,1.0,0.011836903169751167,0.008214929141104221,0.74
articulated,part,1000,1,0.01,0.010351746343076229,0.011489053256809711,0.74
articulated,part,1000,1,0.1,0.010300193913280964,0.010935459285974503,0.74
articulated,part,1000,1,0.3,0.010791132226586342,0.009797120466828346,0.74
articulated,part,1000,1,1.0,0.01185621041804552,0.007279896643012762,0.74
